#,Brand / Institution,Item,City,Type,Link,Google Maps,
1,AUDY Dental,Bleaching and Scaling,Jakarta,Beauty / Grooming,https://www.instagram.com/reel/DJ_xAU1J3oh/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/wkRt9bNuRvG4JBp17?g_st=ic,
2,Hairnerds Studio,Perm and Grooming,Jakarta,Beauty / Grooming,https://www.instagram.com/reel/C-aGvCsyEMP/?igsh=MThsOTA2MDB6Znc2bA==,-,
3,HMNS,HMNS Perfumery,Jakarta,Beauty / Grooming,https://www.instagram.com/reel/DA8rC1BSQuj/?igsh=MWZlbG95Mmp1dGowMA==,https://maps.app.goo.gl/ZNApkJ8sLq4wbyHv8?g_st=ic,
4,Maymay Salon,Perm and Grooming,Jakarta,Beauty / Grooming,https://www.instagram.com/reel/C9C9aazyrZ-/?igsh=MWV0b2gyeWo0Z2tiZw==,https://maps.app.goo.gl/i5XWjAorf8Drdtuv7?g_st=ic,
5,SKYN Gym,Skin and Body Treatments,Jakarta,Beauty / Grooming,https://www.instagram.com/reel/C9bzb0Myl7H/?igsh=MWxpbXVvbGVxYXc4eA==,-,
6,DSP Lifestyle,Theater of Taste: Wine & Spirits Expo '24,Jakarta,Entertainment,https://www.instagram.com/reel/DBdhpRmSrcf/?igsh=MXh3bm55b3pnbTVuaQ==,https://maps.app.goo.gl/WaWQ3RvdhBFmqokdA?g_st=ic,
7,IKEA ,Visit IKEA Campaign,Jakarta,Entertainment,https://www.instagram.com/reel/Cc0Z9A9hg93/?igsh=MWVsMmN5ZnIxOHBqcw==,https://maps.app.goo.gl/WaWQ3RvdhBFmqokdA?g_st=ic,
8,MGP Entertainment,Ultra Beach Bali,Bali,Entertainment,https://www.instagram.com/p/CxcKroNrdU5/?igsh=MXVtOHpidjd1dmhiYw==,-,
9,Ultra Music Festival,Ultra Beach Bali,Bali,Entertainment,https://www.instagram.com/p/CxfS2vRrwRe/?igsh=MXdmZTlpc2xsNHQ4cQ==,-,
10,Balenciaga ,FW 2022 ,Tokyo,Fashion,https://www.instagram.com/reel/CoVxlZ_hfCh/?igsh=MThjMnBrNzFjbHFkYw==,https://maps.app.goo.gl/YUejErbHdbW8zY6j8?g_st=ic,
