,Brand,Property,City,Brand Category,IG Post / Carousel,IG Highlight,IG Reels,Google Maps,New System,,
1,Aman,"Amankora, Bhutan 🗝️🗝️",Thimphu,A Ultra Luxury,https://www.instagram.com/p/CwmtpuorD7F/?igshid=MzRlODBiNWFlZA==,https://www.instagram.com/s/aGlnaGxpZ2h0OjE3ODU3NjA5NjQzOTg0NDMy?igshid=ZWI2YzEzYmMxYg==,https://www.instagram.com/p/C9z7I7aSb-T/,https://maps.app.goo.gl/hySBYkUgjjtCY8WK8?g_st=ic,,,
2,Banyan Tree,Banyan Tree Bangkok ,Bangkok,A Ultra Luxury,"https://www.instagram.com/p/CaY1M3aLjlC/?igshid=MzRlODBiNWFlZA==
https://www.instagram.com/p/CaPUiX6hEgV/?igshid=MzRlODBiNWFlZA==",https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MDAzNzkwMTIxNTA4NTgx?igshid=ZWI2YzEzYmMxYg==,"https://www.instagram.com/reel/CabcVDZAfmt/?igshid=ZWI2YzEzYmMxYg==
https://www.instagram.com/reel/C7BE1OYLL3g/?igsh=MXZ4bnduN3Axb2ViaA== ",https://maps.app.goo.gl/t2D227MFqtL7Hx8m9,,,
3,Banyan Tree,Banyan Tree Macau 🗝️,Macau,A Ultra Luxury,"https://www.instagram.com/p/DKFdns_zrDa/?igsh=MWN1ZGhpMWU0bXRuOA==
https://www.instagram.com/p/DKFcgX8z5dc/?igsh=MXA4MTRtOXl4a2Y4bQ== ",https://www.instagram.com/stories/highlights/18096475312561421/,"https://www.instagram.com/reel/DKIvp_9TkVt/?igsh=bnJvcnNlMmpsNWlw
https://www.instagram.com/reel/DKFdzEbTSZq/?igsh=YTQwc2ppY3NoZzF0 
https://www.instagram.com/reel/DKFdHy3zeoK/?igsh=bDQ3aXNzbzg4MGF6 
https://www.instagram.com/reel/DKFcswjzT4e/?igsh=bndjMGdpNzA4bW9o ",https://maps.app.goo.gl/xSiGTTfhg8NdyKuq8,,,
4,Banyan Tree,"Buahan, A Banyan Tree Escape - Bali 🗝️🗝️",Bali,A Ultra Luxury,"https://www.instagram.com/p/Cz3Ckyir5e_/?igshid=ZWI2YzEzYmMxYg==
https://www.instagram.com/p/CmJHPAmr7uY/?igshid=MzRlODBiNWFlZA==
https://www.instagram.com/p/Ch8Vw5XhGsr/?igshid=MzRlODBiNWFlZA==
https://www.instagram.com/p/Cg5iMdvhPnB/?igshid=MzRlODBiNWFlZA==",https://www.instagram.com/s/aGlnaGxpZ2h0OjE3ODgzNDg0MjY1OTc0NzAz?igshid=ZWI2YzEzYmMxYg==,"https://www.instagram.com/reel/C7BE1OYLL3g/?igsh=MXZ4bnduN3Axb2ViaA== 
https://www.instagram.com/reel/ChAExTGLZI7/?igshid=MzRlODBiNWFlZA==",https://maps.app.goo.gl/n5kBvsZZZgBARVLe8?g_st=ic,,,
5,Banyan Tree,Mandai Rainforest Resort by Banyan Tree,Singapore,A Ultra Luxury,"https://www.instagram.com/p/DK_6Vtppslz/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/p/DLCyNJepcgN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ",https://www.instagram.com/stories/highlights/17979163442714222/,"https://www.instagram.com/reel/DLC0J8xJbGq/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
https://www.instagram.com/reel/DLCzGz5J3iw/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/reel/DLCyUZ0JBjm/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/reel/DK_9cuaJoWd/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/reel/DK_8UTQJtCi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/reel/DK_61WnpPde/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/reel/DK_7fm1JcSC/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ",https://maps.app.goo.gl/REW9i2w9cuCXHAZh8?g_st=ic,,,
6,Belmond,"Jimbaran Puri, A Belmond Hotel 🗝️",Bali,A Ultra Luxury,SOON,SOON,SOON,SOON,Y,,
7,Bvlgari,Bvlgari Resort Bali 🗝️,Bali,A Ultra Luxury,https://www.instagram.com/p/CxmDpsYBVPA/?igshid=MzRlODBiNWFlZA==,https://www.instagram.com/s/aGlnaGxpZ2h0OjE4MDIzMTczNTk3ODYxNjIx?igshid=ZWI2YzEzYmMxYg==,"https://www.instagram.com/reel/C9UFV98yxk4/?igsh=MTljeXV5d2Zuc25mZA=
https://www.instagram.com/reel/CVrUdNPBvOu/?igshid=MzRlODBiNWFlZA== ",https://maps.app.goo.gl/Keu4PSXVVPiL3p147?g_st=ic,,,
8,Capella,Capella Macau,Macau,A Ultra Luxury,SOON,SOON,SOON,SOON,Y,,
9,Capella,Capella Taipei 🗝️,Taipei,A Ultra Luxury,"https://www.instagram.com/p/DNYNpDqJ9-2/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==
https://www.instagram.com/p/DNVbnxcp4LI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/p/DNQbshdpr39/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ",https://www.instagram.com/stories/highlights/18036583820441654/,"https://www.instagram.com/reel/DNYOrHfJUjr/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/reel/DNVcbKnJC7q/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/reel/DNVKleeJjOY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ",https://maps.app.goo.gl/XRtMXTsPon6ZMuweA,,,
10,Four Seasons,"Beverly Wilshire, A Four Seasons Hotel",Los Angeles,A Ultra Luxury,"https://www.instagram.com/p/DMxrkDVJMoi/?igsh=czdjbGtuYmJyMTJ6
https://www.instagram.com/p/DMxo_VhJ9T_/?igsh=NmtuaXRrbDU1Yjlu ",https://www.instagram.com/stories/highlights/18035724332451086/,"https://www.instagram.com/reel/DMxswRHJxjX/?igsh=MXRvbWk5MWRsbml2Zg==
https://www.instagram.com/reel/DMxq8rGpXGb/?igsh=cDFiOWE3dW5oNWhv 
https://www.instagram.com/reel/DMxqJfbpItX/?igsh=djd3YWd4bmM5dHR6 ",https://maps.app.goo.gl/ucawmi3kASq96RJw6,,,
